LSTM-EMD,CHM-LSTM-EMD-Freq,CHM-LSTM-DWT,CHM-ESN-DWT,CHM-LSTM-EMD,CHM-ESN-EMD,CHM-ESN-EMD-Freq,LSTM-DWT,ESN-EMD-Freq
10.441242,9.438309,10.430596,10.326287,10.091459,7.416197,5.5650396,10.434945,9.345465
9.888866,8.846478,10.654957,10.242788,10.146609,7.452737,7.774473,9.651828,8.248854
9.713972,9.039907,10.972132,10.496427,10.144772,7.515244,8.683338,9.936607,8.963144
9.916256,8.961816,10.903825,10.859322,10.084296,7.4764495,9.026428,10.328575,8.804361
9.946893,8.92095,10.736801,11.096164,10.168656,7.530787,8.74069,10.1688,9.251428
9.77559,8.888132,10.688227,11.432376,10.249418,7.896705,9.5132,10.136024,9.854258
9.706331,10.2077265,10.703229,11.656106,10.474732,7.948426,10.767313,10.124201,10.001606
9.885208,9.389546,10.702379,11.901347,10.498063,7.866556,9.13333,10.142903,9.947856
10.110312,9.528876,10.826186,12.316279,10.464684,7.989301,10.772664,10.3946,10.013724
10.151339,9.481217,10.625689,12.128313,10.311212,8.233535,7.662992,10.410949,9.39365
9.916842,9.25636,10.655184,12.182902,10.286844,8.631376,8.664601,10.116563,9.22961
10.593128,9.975587,10.442569,12.406162,10.141398,8.67998,8.926332,10.452339,9.761432
10.511804,9.602976,10.256953,12.599499,10.045312,8.833774,7.781839,9.847837,9.021728
9.955391,9.343661,10.776432,12.566732,10.350142,8.918145,8.765516,11.066564,8.744402
10.631834,9.771394,10.9298935,12.987161,10.350969,8.984865,8.881777,11.008765,8.677898
9.647862,9.796924,10.806969,13.465903,10.269045,9.111156,8.367111,10.842275,9.465589
10.024493,9.906811,10.695126,13.598489,10.238962,9.247075,7.6889133,10.388765,8.749016
10.622974,9.751223,10.649696,13.430777,10.243597,9.213875,11.754156,10.113902,9.144661
10.598179,9.670793,10.506785,13.206938,10.3686695,9.151075,7.774007,9.811261,8.971842
10.347707,9.75885,10.515263,13.301855,10.506293,9.163842,9.723022,10.105758,8.680057
10.937487,9.808258,10.649133,13.205695,10.450143,9.063397,8.695987,10.972534,8.426936
11.056917,9.941095,10.7479725,13.361291,10.424209,9.09453,8.16456,11.200356,9.100294
10.401961,10.218652,10.908279,13.152832,10.400361,9.375829,10.764602,11.1663065,9.847987
9.981821,9.859061,11.048415,12.650175,10.545622,9.615662,8.650265,11.980359,9.2174635
10.294791,9.827327,11.021706,12.398534,10.530136,9.587679,7.6549845,10.598767,9.834761
10.734896,9.706768,11.0191145,11.773946,10.399368,9.619338,7.883056,10.8430195,9.525438
10.377417,9.998924,10.930361,11.064847,10.230299,9.566839,8.559716,9.982268,9.565554
9.718744,9.53031,11.17904,11.133953,10.276905,9.781454,7.089591,9.869826,9.3329315
10.33603,9.541171,11.162045,11.243718,10.213385,9.552637,8.863728,9.910516,9.451118
10.017666,9.883761,11.202195,10.972143,10.137541,9.47285,8.272318,9.283445,9.266644
10.584965,9.267626,11.045232,10.769238,10.154763,9.411696,7.9583716,8.242047,8.172882
9.504714,9.547795,11.009217,10.798471,10.162261,8.853336,8.620913,9.1225605,8.474069
9.713352,9.309278,11.042284,10.825729,10.238016,8.905834,8.644918,8.805471,10.066599
8.664063,9.537185,10.879601,11.150077,10.079469,8.645077,7.9213705,9.756641,9.086756
9.476585,9.572545,10.914125,11.3978,10.001625,7.9684787,8.484031,9.563985,8.540036
9.484904,9.460153,10.897964,11.291823,9.954034,8.14521,8.0070095,9.641237,9.250065
9.609336,9.61354,10.652669,11.312256,9.692716,7.867578,8.7762575,9.508582,9.599918
9.354516,9.322735,10.529453,11.181396,9.483888,7.2516184,6.659446,8.952614,8.687286
8.357987,9.767216,11.263066,11.325808,9.85844,7.0865393,9.900246,9.602848,8.738276
9.192079,9.827299,11.185289,11.794681,9.732297,6.5428257,9.297426,10.262027,9.219968
9.961565,9.855369,11.482924,11.882868,9.927553,6.659532,9.154246,10.251411,9.237324
10.030344,9.43287,11.626963,11.421005,10.186568,6.6632214,9.485074,10.645166,10.6918955
9.84635,9.648121,11.677222,11.278299,10.264484,6.918986,9.145599,10.108386,11.344072
10.243797,9.7683,11.658194,10.738853,10.343276,6.833165,9.511938,9.5324745,10.637339
10.096016,9.858654,11.559825,10.557571,10.413321,6.81593,9.866696,9.986195,10.96424
10.607554,9.837387,11.662548,10.819919,10.453236,6.9048233,8.138741,9.902411,10.829696
9.993705,9.765818,11.486531,10.549079,10.479679,7.1684017,10.225442,11.088951,11.174838
10.074926,9.688557,11.271747,10.734235,10.406183,7.6239414,11.51515,10.932068,10.519407
9.732585,9.666952,11.239133,11.341594,10.370792,7.683031,8.072719,10.615833,10.164556
10.431682,9.179976,11.206761,11.638843,10.449981,7.425579,7.4390693,10.34628,11.140797
11.120006,9.0228,11.0357685,12.000291,10.455851,7.4052596,9.698903,11.05406,10.439618
11.506863,9.229187,10.877727,12.176859,10.469627,7.418576,8.847433,11.408653,10.746166
10.988535,9.434386,10.900168,12.2153225,10.489155,7.292627,8.176548,10.630034,11.797653
10.211234,9.605238,10.889473,11.773702,10.363952,7.4494443,8.7171955,9.635525,11.894464
10.356551,9.426871,10.980843,11.522389,10.303826,7.578172,8.8376875,9.174321,11.667724
9.258388,9.51166,10.831762,11.4855385,10.220721,7.3132286,11.4575405,9.2397375,11.264767
9.991759,9.763194,10.67481,11.579339,10.230034,8.062927,7.9362426,10.363799,11.393497
9.672033,9.7630825,10.656881,12.043042,10.2684965,8.01098,6.767366,10.242194,10.6500435
9.77675,9.988244,10.621149,12.176004,10.395568,7.7120886,8.068714,10.128774,10.571446
10.495932,10.044346,10.528843,12.151697,10.407213,7.739565,9.864687,10.636979,10.52685
10.536969,10.116978,10.612189,12.413211,10.389467,7.8113875,8.108271,10.44138,10.8339405
10.667995,9.893968,10.660238,12.499388,10.3102455,7.919503,9.54333,10.420364,10.606221
10.506927,9.812344,10.700524,12.421145,10.357404,7.922374,9.075252,10.350219,10.473204
9.859942,9.947952,10.63496,12.978077,10.489212,8.187459,7.82475,10.258148,10.710729
10.124955,9.848706,10.74188,13.040082,10.819326,8.62822,7.966365,10.130793,10.264449
10.281985,9.494416,10.60113,12.809533,10.988899,8.960594,9.843855,9.808211,10.407986
9.80688,9.516115,10.334289,13.017248,11.213112,9.201026,8.51996,9.953827,10.338756
9.940945,9.6094,10.449916,13.555077,11.219269,9.283843,7.7983103,9.624017,10.72368
9.554629,9.479873,10.913927,13.844374,11.331901,9.350455,6.2262907,9.473633,10.937317
9.613906,9.399552,11.029432,13.721673,11.291558,9.431603,8.877297,10.01467,11.227342
9.257321,9.627378,11.156719,13.885007,11.392356,9.559827,6.8834453,10.361634,11.113451
10.159091,9.61868,11.220509,13.909277,11.612961,9.8181305,10.04604,10.778702,11.793717
10.226859,9.799214,11.1217985,13.4182825,11.764132,9.9615965,8.491012,10.220593,11.34917
10.402276,9.419402,10.890556,12.97435,11.827057,10.441701,7.086453,10.500109,11.598989
10.876676,9.189312,10.935593,12.755668,11.925463,10.317646,7.7204876,11.67467,11.36081
10.919771,9.34085,11.067497,12.220011,11.935982,9.868264,7.623474,11.381492,11.700681
10.51817,10.071206,11.330141,11.870535,11.767609,9.831978,8.561325,11.3012295,11.412094
9.720872,9.745628,11.104774,11.395518,11.517292,9.536922,6.7514405,10.621037,11.827944
9.802013,9.345077,10.913092,10.83795,11.375558,9.232219,7.6818,10.159919,11.671125
10.532698,8.842704,10.870931,10.826577,11.384154,8.719627,5.2640963,10.341329,10.711569
10.60129,9.635938,10.7316,10.795059,11.361992,8.345051,9.07643,10.230913,10.82111
11.380751,9.664892,10.467263,10.554736,11.199817,8.253177,8.379772,10.552439,10.687115
11.666415,9.8817625,10.268298,10.740061,11.057069,8.099312,8.808611,10.929426,10.8507395
11.352415,9.445987,10.3641615,11.083815,11.060469,7.805172,8.790615,10.258188,10.457478
