CHM-LSTM-EMD-Freq,LSTM-EMD,CHM-LSTM-DWT,CHM-ESN-DWT,CHM-LSTM-EMD,CHM-ESN-EMD,CHM-ESN-EMD-Freq,LSTM-DWT,ESN-EMD-Freq,LSTM-EMD-Freq

17.05454,18.189014,17.87377,17.226168,17.6581,17.380552,10.305496,16.962042,15.826857,17.647404

15.159907,18.440512,17.771593,17.40515,17.751427,17.572775,11.552468,17.023178,16.201069,17.766817

15.630349,18.231071,17.68917,17.341429,17.764906,17.773394,12.513527,17.398129,16.26287,17.804693

14.562459,18.018124,17.780222,17.469355,17.799706,17.803585,10.902905,17.70265,16.141441,17.710865

14.557738,17.85223,17.399164,17.170145,17.600468,17.650564,9.559086,17.73815,16.00262,17.887783

15.588853,17.546547,17.306686,17.010212,17.233913,17.586237,11.64023,17.092346,15.65634,17.796518

12.819306,17.633326,17.06415,16.772673,17.085302,17.697441,17.101227,17.440517,16.338505,17.789127

12.149012,17.854658,17.145355,16.830065,17.054657,17.803207,15.512727,17.273783,15.699902,17.775696

17.371346,17.155968,17.306171,16.927155,17.153286,17.634466,16.04092,17.920876,15.403674,17.738417

19.92796,17.734442,17.132563,16.961605,17.310284,17.534103,11.78915,17.66122,15.524749,17.821602

12.765884,17.670376,17.153776,17.029955,17.339659,17.493465,11.90527,17.5695,15.4354725,17.762257

14.350445,17.557276,17.192574,17.024605,17.327446,17.445244,9.487617,17.970253,16.371397,17.703667

14.26332,16.873222,17.22129,17.004404,17.364553,17.499624,15.210563,17.306892,15.638588,17.674952

15.602973,16.825546,17.260458,17.197268,17.395952,17.628809,14.695999,17.298357,16.049576,17.674667

17.917145,17.292658,17.24256,17.313757,17.435293,17.633978,15.782249,17.092306,15.82386,17.67718

15.750791,17.155775,17.21779,17.380674,17.437462,17.68477,12.18146,17.12135,16.008907,17.696474

14.593912,17.540518,17.26863,17.595222,17.313465,17.685484,8.094282,17.462366,16.012348,17.685312

14.479952,17.490429,17.11043,17.408047,17.280512,17.71011,12.321676,17.603151,15.805212,17.629498

15.249446,17.324066,17.103916,17.225952,17.280962,17.668362,12.876035,17.63744,15.614093,17.530474

15.526338,17.54049,17.290136,17.42285,17.421097,17.800213,14.408347,17.119162,15.3596115,17.576054

14.882473,17.81528,17.449696,17.52096,17.550224,17.978258,12.9544,17.373924,15.645489,17.753513

17.459005,18.413172,17.584023,17.54117,17.654621,18.011253,7.505021,17.922863,16.113668,17.87351

13.388795,17.984959,17.910564,17.753782,17.820002,18.051926,8.528932,17.914915,16.297417,17.966328

17.466467,18.098902,17.874697,17.560518,17.918411,18.158033,11.147135,18.025557,16.50921,18.070095

12.719245,17.929409,17.83097,17.318844,17.906097,18.165672,12.054588,17.954704,16.729334,18.08354

12.4517565,18.022642,17.801596,17.253119,17.911955,18.211716,17.076649,17.371315,16.732012,18.038662

15.187563,18.34565,17.556343,17.187557,17.854788,18.174162,13.269639,17.599651,16.857006,18.12477

19.110521,18.467564,17.576904,17.457598,17.850336,18.17186,14.6797495,17.623827,16.66386,18.136858

13.428781,18.398516,17.607779,17.543127,17.894924,18.178337,12.31677,17.50949,16.543476,18.18662

16.197418,18.428755,17.444822,17.449324,17.882566,18.14546,14.152025,17.547836,16.475033,18.291542

13.727977,18.367815,17.40653,17.38894,17.88756,18.112509,6.022717,17.685015,16.480633,18.290997

13.643685,18.24478,17.390306,17.481745,17.993145,18.132357,7.0485473,17.56252,16.64967,18.07659

13.335462,18.671206,17.159256,17.53477,17.881704,18.0351,12.925691,17.477917,15.895948,18.013866

13.992295,18.084764,17.339888,17.75855,17.837824,18.137712,18.487438,17.7043,16.21717,18.089602

14.363379,18.579554,17.840889,18.337564,18.093546,18.31106,13.526597,16.992939,16.70445,18.095797

15.149441,18.316181,17.971073,18.225458,18.314348,18.421753,10.922824,17.5535,17.129202,18.436691

14.513869,18.426695,18.159016,18.315683,18.515114,18.56849,12.529501,17.915789,17.455343,18.698832

13.735351,18.390528,18.334803,18.277443,18.734003,18.751236,14.780078,17.379568,17.146849,18.835363

